variant,corruption_type,target_rate,actual_rate,corrupted_cells,split,dataset,acc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,logloss,mcc,kappa,auc_roc_macro_ovr,auc_roc_micro_ovr,auc_roc_weighted_ovr,pr_auc_macro,ppv_macro_ovr,npv_macro_ovr,ppv_weighted_ovr,npv_weighted_ovr,ppv_positive,npv_negative
numeric_missing_10,numeric_missing,0.1,0.10000710720673572,356002,VAL,global_weighted,0.9802918423347387,0.9784115567755339,0.9278046538881107,0.9416028161368634,0.9815918897142885,0.9802918423347387,0.9779629832919574,0.06203274704424433,0.8953376551075669,0.8848294387588789,0.9920561273387343,0.9920561273387343,0.9920561273387343,0.952484880793351,0.9784115567755339,0.9784115567755339,0.9815918897142885,0.9752312238367796,0.9776066499776455,0.9792164635734226
numeric_missing_10,numeric_missing,0.1,0.1002138623117749,356738,TEST,global_weighted,0.9800078400627205,0.9786864118983591,0.925933672775325,0.9400291008641395,0.9814096966635797,0.9800078400627205,0.9775448320607506,0.06362441660314205,0.8932919928414864,0.8817726847699162,0.9916999634668371,0.9916999634668371,0.9916999634668371,0.9511072517467728,0.9786864118983591,0.9786864118983591,0.9814096966635797,0.9759631271331384,0.9784496264655952,0.9789231973311229
numeric_missing_20,numeric_missing,0.2,0.0,0,VAL,I23Sub,0.9184907834101382,0.959186616671474,0.5086805555555556,0.4957898501752155,0.9251441172131181,0.9184907834101382,0.8808612256544027,0.10880444920371152,0.12626947273801886,0.03138751754704194,0.9954776050390843,0.9954776050390843,0.9954776050390843,0.9830606653265345,0.959186616671474,0.959186616671474,0.9251441172131181,0.9932291161298298,1.0,0.9183732333429478
numeric_missing_20,numeric_missing,0.2,0.0,0,TEST,I23Sub,0.918778801843318,0.9593073593073593,0.5121107266435986,0.5024392623670602,0.9253890119097493,0.918778801843318,0.881811626108965,0.11112402252804963,0.14916495398000912,0.04353177696631527,0.9929882692113271,0.9929882692113271,0.9929882692113271,0.9730373432795579,0.9593073593073593,0.9593073593073593,0.9253890119097493,0.9932257067049695,1.0,0.9186147186147187
numeric_missing_20,numeric_missing,0.2,0.19863059010320191,12010,VAL,K99Sub,0.9166446149775073,0.921325292565397,0.9133464633179297,0.9156121418814264,0.9192476861058329,0.9166446149775073,0.9162469399333231,0.3353751956783828,0.8346336192325321,0.8315338523714697,0.972636673121914,0.972636673121914,0.972636673121914,0.9719701275435261,0.921325292565397,0.921325292565397,0.9192476861058329,0.9234028990249612,0.8907755851307939,0.951875
numeric_missing_20,numeric_missing,0.2,0.2014917967716327,12183,TEST,K99Sub,0.9166446149775073,0.9196296315308856,0.9140211156362743,0.9157931618007673,0.9181223459445262,0.9166446149775073,0.916364531695685,0.3404839137302037,0.8336318808693823,0.8317722656183203,0.9717565280811176,0.9717565280811176,0.9717565280811176,0.970935307142864,0.9196296315308856,0.9196296315308856,0.9181223459445262,0.921136917117245,0.8972922502334267,0.9419670128283445
numeric_missing_20,numeric_missing,0.2,0.1985244073174077,76714,VAL,NTD1,0.9415792619966307,0.9299223524908071,0.6703464252627154,0.7344500133142916,0.9402554588896023,0.9415792619966307,0.929110042140154,0.18120942301017445,0.541242037862345,0.4756375713732335,0.9748376916135341,0.9748376916135341,0.9748376916135341,0.8034873576243218,0.9299223524908071,0.9299223524908071,0.9402554588896023,0.9195892460920119,0.9174729652817302,0.942371739699884
numeric_missing_20,numeric_missing,0.2,0.2001599291963946,77346,TEST,NTD1,0.9391880876039346,0.9276619978751638,0.6554830521984938,0.7174905672074072,0.9378201307372849,0.9391880876039346,0.9252022209640571,0.1879396539502281,0.5157293582449469,0.4430616008530227,0.9735945539600064,0.9735945539600064,0.9735945539600064,0.7928640404055637,0.9276619978751638,0.9276619978751638,0.9378201307372849,0.9175038650130427,0.9154228855721394,0.9399011101781882
numeric_missing_20,numeric_missing,0.2,0.19775495581561978,13248,VAL,NTD2,0.7940052543587294,0.8460201563409667,0.7823242979887063,0.780804803264225,0.8389794651886749,0.7940052543587294,0.7839523560799462,0.5795953978990336,0.6251076634593623,0.5773186850589603,0.9226768170054235,0.9226768170054235,0.9226768170054235,0.9216943417749365,0.8460201563409667,0.8460201563409667,0.8389794651886749,0.8530608474932585,0.9663441312578881,0.7256961814240454
numeric_missing_20,numeric_missing,0.2,0.19933723429663244,13354,TEST,NTD2,0.7923334129448293,0.846366927578913,0.7804363633699473,0.7786085825500602,0.8391722476412224,0.7923334129448293,0.7818340822591425,0.5817070801345713,0.6233261796582982,0.5737048620537655,0.92003646168175,0.92003646168175,0.92003646168175,0.9184775152995656,0.846366927578913,0.846366927578913,0.8391722476412224,0.8535616075166035,0.9693225394120153,0.7234113157458105
numeric_missing_20,numeric_missing,0.2,0.19997701821142588,609108,VAL,WII21,0.9999888374169783,0.9999939802189997,0.9999233892591741,0.9999586817861402,0.999988837551371,0.9999888374169783,0.9999888370229569,8.809696979767254e-05,0.999917366986426,0.9999173635723186,1.0,1.0,1.0,0.9999999999999999,0.9999939802189997,0.9999939802189997,0.999988837551371,0.9999991228866284,0.9999879604379993,1.0
numeric_missing_20,numeric_missing,0.2,0.20004169553069875,609305,TEST,WII21,0.9999832561254675,0.9999909704372114,0.9998850750842783,0.9999380161153508,0.9999832564278471,0.9999832561254675,0.9999832552388084,8.660019201163598e-05,0.9998760399138816,0.9998760322308303,1.0,1.0,1.0,1.0,0.9999909704372114,0.9999909704372114,0.9999832564278471,0.9999986844465757,0.9999819408744228,1.0
numeric_missing_20,numeric_missing,0.2,0.19975464686312336,711080,VAL,global_weighted,0.9777998223985792,0.9776077491150947,0.9117283586767441,0.9257129303719408,0.9791457273394575,0.9777998223985792,0.9741810973566176,0.06607161611940779,0.8714490455495957,0.8539973337446212,0.9913773429714188,0.9913773429714188,0.9913773429714188,0.953325397655019,0.9776077491150947,0.9776077491150947,0.9791457273394575,0.9760697708907319,0.9789898705809107,0.9762256276492787
numeric_missing_20,numeric_missing,0.2,0.20006590318973125,712188,TEST,global_weighted,0.9772158177265418,0.9770941352432981,0.9084134600241586,0.921974759304457,0.9785968212853315,0.9772158177265418,0.9732582187896804,0.06773684300941567,0.8660290356764796,0.8468257045373331,0.9909665224629696,0.9909665224629696,0.9909665224629696,0.9507170238049361,0.9770941352432981,0.9770941352432981,0.9785968212853315,0.9755914492012644,0.9787311428786529,0.9754571276079431
categorical_oob_10,categorical_oob,0.1,0.09731422811059907,8109,VAL,I23Sub,0.9233870967741935,0.9614492753623188,0.5381944444444444,0.5509195055773289,0.9292940626460964,0.9233870967741935,0.8920536434983031,0.12415482796251356,0.2655168447519308,0.13171274707421998,0.9946542608877721,0.9946542608877721,0.9946542608877721,0.9836788604627525,0.9614492753623188,0.9614492753623188,0.9292940626460964,0.9936044880785414,1.0,0.9228985507246377
categorical_oob_10,categorical_oob,0.1,0.09900633640552996,8250,TEST,I23Sub,0.923963133640553,0.9617058311575283,0.5432525951557093,0.5597083321324611,0.9297866708377953,0.923963133640553,0.893512447257356,0.1256093414789582,0.28263032672441124,0.1479421951777259,0.9923218830138919,0.9923218830138919,0.9923218830138919,0.9760712524132026,0.9617058311575283,0.9617058311575283,0.9297866708377953,0.9936249914772614,1.0,0.9234116623150566
categorical_oob_10,categorical_oob,0.1,0.10064390932345417,2282,VAL,K99Sub,0.9158507541677693,0.9264427390487584,0.9108674963376179,0.9142834521659491,0.9228843859580207,0.9158507541677693,0.9150717038576669,0.29203648373555896,0.8371653612622049,0.8293521920535839,0.9811762282557492,0.9811762282557492,0.9811762282557492,0.9796228314389586,0.9264427390487584,0.9264427390487584,0.9228843859580207,0.9300010921394959,0.8741197183098591,0.9787657597876576
