variant,target_label_noise_rate,actual_label_noise_rate,noisy_train_labels,split,dataset,acc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,logloss,mcc,kappa,auc_roc_macro_ovr,auc_roc_micro_ovr,auc_roc_weighted_ovr,pr_auc_macro,ppv_macro_ovr,npv_macro_ovr,ppv_weighted_ovr,npv_weighted_ovr,ppv_positive,npv_negative
label_noise_05,0.05,0.0500005142939429,58333,TEST,global_weighted,0.9835998687989504,0.9793729411919078,0.9448261293931514,0.9570023720343136,0.984466266241496,0.9835998687989504,0.9824870146427334,0.0779050752940895,0.9202945946769356,0.9146480413851324,0.9947818960475218,0.9947818960475218,0.9947818960475218,0.9726813495408632,0.9793729411919078,0.9793729411919078,0.984466266241496,0.9742796161423192,0.9772293791137756,0.9815165032700398
label_noise_10,0.1,0.0999938275415097,1620,VAL,I23Sub,0.9170506912442395,0.4585253456221198,0.5,0.4783653846153846,0.8409819703115378,0.9170506912442395,0.8773706132577102,0.3874044394550238,0.0,0.0,0.9290397298994976,0.9290397298994976,0.9290397298994976,0.7707326408938487,0.4585253456221198,0.4585253456221198,0.8409819703115378,0.0760687209327019,0.0,0.9170506912442395
label_noise_10,0.1,0.0999938275415097,1620,TEST,I23Sub,0.91676267281106,0.4583813364055299,0.5,0.4782870022539444,0.8404537982596785,0.91676267281106,0.8769513411142309,0.3865374501500022,0.0,0.0,0.9167202058513708,0.9167202058513708,0.9167202058513708,0.7207509639378052,0.4583813364055299,0.4583813364055299,0.8404537982596785,0.0763088745513814,0.0,0.91676267281106
label_noise_10,0.1,0.0999773165475785,1763,VAL,K99Sub,0.8565758137073299,0.8935485356949546,0.8461824837113339,0.8499343825867387,0.8864202614632821,0.8565758137073299,0.8520813609489927,0.4957864366976944,0.7382130032662333,0.7061013354608108,0.9807610269640246,0.9807610269640246,0.9807610269640246,0.9714561228954878,0.8935485356949546,0.8935485356949546,0.8864202614632821,0.9006768099266272,0.7887323943661971,0.9983646770237122
label_noise_10,0.1,0.0999773165475785,1763,TEST,K99Sub,0.8610743582958454,0.8967348544453186,0.8510215664018161,0.854892407288501,0.8897667115195595,0.8610743582958454,0.8569134297332097,0.4954690102112397,0.7463577963780971,0.7155197000071551,0.979129020803308,0.979129020803308,0.979129020803308,0.9710943136796149,0.8967348544453186,0.8967348544453186,0.8897667115195595,0.9037029973710776,0.7934697088906373,1.0
label_noise_10,0.1,0.0999996118178183,25761,VAL,NTD1,0.9150046193141677,0.4575023096570838,0.5,0.4778080481298598,0.837233453366265,0.9150046193141677,0.8743931423686158,0.1873301951074487,0.0,0.0,0.944235206049249,0.944235206049249,0.944235206049249,0.855871162249263,0.4575023096570838,0.4575023096570838,0.837233453366265,0.0777711659479027,0.0,0.9150046193141677
label_noise_10,0.1,0.0999996118178183,25761,TEST,NTD1,0.9149865043566472,0.4574932521783236,0.5,0.4778031084161834,0.8372003031547969,0.9149865043566472,0.8743667918809278,0.193412419308393,0.0,0.0,0.9430249975711202,0.9430249975711202,0.9430249975711202,0.8460766138685061,0.4574932521783236,0.4574932521783236,0.8372003031547969,0.0777862012018503,0.0,0.9149865043566472
label_noise_10,0.1,0.1000051179691898,3908,VAL,NTD2,0.8632672557917364,0.8721481024862601,0.8586816487992863,0.860967499438511,0.8695329493129929,0.8632672557917364,0.8620138138424853,0.6066246662681808,0.7307056726132556,0.7233174059014624,0.9659757080098248,0.9659757080098248,0.9659757080098248,0.9499035943220112,0.8721481024862601,0.8721481024862601,0.8695329493129929,0.8747632556595273,0.9168405365126676,0.8274556684598525
label_noise_10,0.1,0.1000051179691898,3908,TEST,NTD2,0.8638643420109864,0.8744075619976039,0.8589091694186645,0.8613394435799184,0.8714888174815347,0.8638643420109864,0.8624343110411781,0.6076291273933222,0.7331529365708828,0.7243190307300205,0.9696494362296624,0.9696494362296624,0.9696494362296624,0.9588339382488414,0.8744075619976039,0.8744075619976039,0.8714888174815347,0.8773263065136733,0.9242883101150816,0.8245268138801262
label_noise_10,0.1,0.099999521602059,83612,VAL,WII21,0.9994474521404252,0.99959546797113,0.9963136546601434,0.997948155614426,0.9994476317876978,0.9994474521404252,0.9994465417375256,0.0716205256209033,0.995903715346812,0.9958963153345196,0.9999939400233904,0.9999939400233904,0.9999939400233904,0.9999995227480544,0.99959546797113,0.99959546797113,0.9994476317876978,0.999743304154562,0.999422417423741,0.9997685185185186
label_noise_10,0.1,0.099999521602059,83612,TEST,WII21,0.9993302450186972,0.999532144650066,0.995508898560995,0.9975108872057524,0.9993305453117026,0.9993302450186972,0.9993288910117076,0.0719053887248015,0.995032909589157,0.9950217819015024,0.9999899689698808,0.9999899689698808,0.9999899689698808,0.9999992092090634,0.999532144650066,0.999532144650066,0.9993305453117026,0.9997337439884294,0.9992961643967468,0.9997681249033854
label_noise_10,0.1,0.0999993142747426,116664,VAL,global_weighted,0.972935783486268,0.8665073645509104,0.8729483485405813,0.8690523012577195,0.9553675269406882,0.972935783486268,0.963306552175062,0.1258888409083749,0.7493848147604973,0.748646628061869,0.985266013150145,0.985266013150145,0.985266013150145,0.9628804205508564,0.8665073645509104,0.8665073645509104,0.9553675269406882,0.7776472021611328,0.7589050988443052,0.9741096302575156
label_noise_10,0.1,0.0999993142747426,116664,TEST,global_weighted,0.9729317834542676,0.8665818298389152,0.8724523605761559,0.8688241427293836,0.9553850570265858,0.9729317834542676,0.9632977193527138,0.127452843663568,0.7489658125842873,0.7481957822580677,0.9849232281241086,0.9849232281241086,0.9849232281241086,0.960316937681318,0.8665818298389152,0.8665818298389152,0.9553850570265858,0.7777786026512445,0.7591356975406464,0.974027962137184
label_noise_30,0.3,0.2999814826245293,4860,VAL,I23Sub,0.9815668202764976,0.9901477832512317,0.8888888888888888,0.9325248756218906,0.9819300356405076,0.9815668202764976,0.9805064539055872,0.4223422746982932,0.8731850361061471,0.8652173913043478,0.9764011027359016,0.9764011027359016,0.9764011027359016,0.9396379055403544,0.9901477832512317,0.9901477832512317,0.9819300356405076,0.9983655308619556,1.0,0.9802955665024632
